episode,step,x,y
2.00,47.00,418.26,335.84
2.00,48.00,435.94,318.17
2.00,49.00,444.10,341.79
2.00,50.00,460.54,360.63
2.00,51.00,438.28,349.26
2.00,52.00,431.55,373.33
2.00,53.00,438.19,349.23
2.00,54.00,446.72,325.73
2.00,55.00,424.15,314.98
2.00,56.00,441.83,297.30
2.00,57.00,466.31,292.25
2.00,58.00,488.66,281.04
2.00,59.00,506.34,298.72
2.00,60.00,530.53,305.03
2.00,61.00,554.28,297.24
2.00,62.00,549.28,321.73
2.00,63.00,571.93,311.14
2.00,64.00,563.50,287.60
2.00,65.00,563.32,312.60
2.00,66.00,584.75,325.49
2.00,67.00,602.42,307.81
2.00,68.00,594.00,331.35
2.00,69.00,610.55,350.08
2.00,70.00,635.15,354.54
2.00,71.00,617.47,372.21
2.00,72.00,593.87,380.47
2.00,73.00,618.87,380.97
2.00,74.00,631.47,359.37
2.00,75.00,631.63,384.37
2.00,76.00,608.28,393.30
2.00,77.00,590.60,375.62
2.00,78.00,599.98,352.45
2.00,79.00,610.80,374.98
2.00,80.00,632.29,387.76
2.00,81.00,649.97,405.44
2.00,82.00,674.51,410.19
2.00,83.00,693.51,393.94
2.00,84.00,716.16,404.53
2.00,85.00,697.05,420.65
2.00,86.00,719.73,410.13
2.00,87.00,726.43,434.21
2.00,88.00,702.77,442.28
2.00,89.00,727.39,437.95
2.00,90.00,728.19,412.96
2.00,91.00,749.00,399.11
2.00,92.00,769.46,413.47
2.00,93.00,755.64,434.30
2.00,94.00,755.62,459.30
2.00,95.00,737.03,442.59
2.00,96.00,760.36,451.57
2.00,97.00,775.06,471.79
2.00,98.00,776.24,496.76
2.00,99.00,795.77,481.15
2.00,100.00,818.73,491.05
3.00,1.00,63.04,175.19
3.00,2.00,75.74,196.72
3.00,3.00,96.57,182.90
3.00,4.00,121.09,177.99
3.00,5.00,137.68,159.28
3.00,6.00,148.43,136.72
3.00,7.00,173.43,136.57
3.00,8.00,155.75,154.25
3.00,9.00,138.68,135.98
3.00,10.00,157.07,119.04
3.00,11.00,149.88,142.99
3.00,12.00,167.56,125.31
3.00,13.00,185.24,107.63
3.00,14.00,187.09,82.70
3.00,15.00,206.90,97.95
3.00,16.00,214.99,121.61
3.00,17.00,214.00,96.63
3.00,18.00,231.68,114.30
3.00,19.00,248.65,132.66
3.00,20.00,267.57,149.00
3.00,21.00,276.30,125.57
3.00,22.00,267.19,102.29
3.00,23.00,261.09,126.54
3.00,24.00,285.08,119.51
3.00,25.00,302.76,137.19
3.00,26.00,326.00,127.96
3.00,27.00,343.67,145.64
3.00,28.00,368.66,146.59
3.00,29.00,393.43,149.96
3.00,30.00,393.07,174.96
3.00,31.00,417.64,179.57
3.00,32.00,435.85,196.70
